frame,cell_label,area,eccentricity,solidity,extent,aspect_ratio,n_defects,max_defect_depth_ratio
1,1,869.0,0.236,0.9264,0.639,1.0291,5,0.3803
1,3,2258.0,0.6053,1.0009,0.7433,1.2563,2,0.1566
1,4,1832.0,0.6914,0.9438,0.6674,1.3841,3,0.375
1,5,2053.0,0.7014,0.9461,0.6959,1.4029,2,0.358
1,6,1845.0,0.6012,0.9824,0.7321,1.2514,7,0.1868
1,7,1921.0,0.5874,1.0129,0.7696,1.2357,0,0.0458
1,8,1732.0,0.7824,0.9159,0.6499,1.6057,6,0.3462
1,9,1395.0,0.8022,0.9745,0.746,1.675,5,0.2503
1,10,2215.0,0.6148,0.9939,0.7291,1.2679,3,0.1149
1,11,2281.0,0.4758,1.0004,0.7311,1.1369,2,0.1477
1,12,1960.0,0.8464,0.6663,0.4367,1.8776,4,2.8031
1,13,2068.0,0.4505,1.0117,0.7804,1.1201,1,0.0697
1,14,2741.0,0.6943,0.9784,0.705,1.3894,2,0.1262
1,15,3834.0,0.8339,0.9577,0.643,1.812,3,0.2103
1,16,2139.0,0.5032,0.9917,0.7526,1.1572,2,0.2202
1,17,1783.0,0.427,0.9914,0.7739,1.1059,4,0.15
1,18,1936.0,0.4759,0.9992,0.761,1.137,6,0.1105
2,1,3240.0,0.6696,0.9862,0.7195,1.3463,2,0.1434
2,2,2097.0,0.5817,0.995,0.7405,1.2294,1,0.1391
2,4,1377.0,0.7388,0.9367,0.6245,1.4838,6,0.2461
2,5,2042.0,0.8717,0.9573,0.6252,2.0409,5,0.2666
2,6,4050.0,0.8089,0.9679,0.6557,1.7009,2,0.2325
2,7,1259.0,0.757,0.9463,0.6506,1.5303,9,0.2997
2,8,1927.0,0.5015,1.018,0.7865,1.1559,1,0.0511
2,9,1765.0,0.4169,0.9757,0.7086,1.1002,1,0.268
2,10,921.0,0.5996,0.9654,0.6418,1.2496,8,0.2471
2,11,1380.0,0.4632,1.014,0.7641,1.1283,4,0.0695
2,12,1664.0,0.5214,0.9571,0.7081,1.1719,3,0.2173
2,13,3527.0,0.7685,0.9758,0.658,1.5628,3,0.1689
2,14,2180.0,0.4106,0.9929,0.7633,1.0967,2,0.2135
2,16,2720.0,0.6914,1.0031,0.7192,1.3842,3,0.0864
2,17,2323.0,0.4462,1.0149,0.7702,1.1174,1,0.0536
2,18,1386.0,0.6458,0.9139,0.632,1.3097,4,0.4324
2,19,2200.0,0.4504,1.0152,0.7835,1.1201,0,0.0478
2,20,3330.0,0.8592,0.9819,0.7551,1.9547,3,0.1359
2,21,3596.0,0.8829,0.9794,0.7571,2.1294,2,0.1725
2,22,2062.0,0.4076,1.0118,0.7629,1.0951,1,0.0569
2,24,3126.0,0.8104,0.9365,0.6464,1.7067,7,0.2286
2,25,1729.0,0.5508,0.9074,0.6961,1.1981,3,1.4726
2,27,2367.0,0.463,1.0154,0.7866,1.1282,0,0.0488
2,28,2548.0,0.4438,1.0073,0.7721,1.1159,2,0.0595
2,29,2534.0,0.7144,0.9503,0.6487,1.429,4,0.2839
3,1,1903.0,0.4775,1.0087,0.7624,1.1381,3,0.0602
3,2,3043.0,0.8534,0.9221,0.6858,1.9185,4,0.2435
3,4,1901.0,0.5091,1.0085,0.7616,1.1619,3,0.0735
3,6,1545.0,0.6476,1.0039,0.7166,1.3124,5,0.1275
3,7,1651.0,0.6972,0.9886,0.6902,1.3949,5,0.1796
3,8,1483.0,0.3285,0.9552,0.7022,1.0588,3,0.2603
3,9,2084.0,0.5026,1.0146,0.7733,1.1567,1,0.0639
3,10,3215.0,0.79,0.9601,0.7001,1.6311,4,0.2049
3,11,2315.0,0.7745,0.9662,0.654,1.5808,5,0.2302
3,13,2288.0,0.6049,1.0106,0.7719,1.2558,0,0.0414
3,14,3219.0,0.5527,1.0116,0.7794,1.1999,0,0.0428
3,15,2443.0,0.6644,0.9925,0.6942,1.3381,3,0.1017
3,16,2637.0,0.8023,0.7706,0.573,1.6753,4,1.6514
3,17,2141.0,0.5853,1.0026,0.7533,1.2333,1,0.1532
3,18,2895.0,0.8441,0.9422,0.6194,1.8651,5,0.2446
3,19,5157.0,0.494,0.9554,0.7019,1.1501,5,0.2688
3,20,3117.0,0.6621,0.9966,0.7291,1.3344,2,0.098
3,22,2630.0,0.7939,0.9413,0.6444,1.6445,7,0.2076
3,23,2334.0,0.8018,0.9645,0.6334,1.6733,3,0.195
3,24,1768.0,0.6052,0.9938,0.7306,1.2562,3,0.2047
