frame,cell_label,centroid_x,centroid_y,area,blob_type,included,classical_zero_crossings,classical_budding,modern_defect_ratio,modern_budding,classifiers_agree,crop_path
1,1,1372.6,24.7,869.0,single,True,0,False,0.38,False,True,
1,2,1668.6,109.5,400.0,multicell,False,0,False,2.676,False,,
1,3,1525.9,122.4,2258.0,single,True,0,False,0.157,False,True,non_budding/frame1_cell3.tif
1,4,1333.5,186.6,1832.0,single,True,0,False,0.375,False,True,non_budding/frame1_cell4.tif
1,5,384.5,222.7,2053.0,single,True,0,False,0.358,False,True,non_budding/frame1_cell5.tif
1,6,1479.5,263.3,1845.0,single,True,0,False,0.187,False,True,non_budding/frame1_cell6.tif
1,7,769.0,261.3,1921.0,single,True,0,False,0.046,False,True,non_budding/frame1_cell7.tif
1,8,1654.7,359.3,1732.0,single,True,0,False,0.346,False,True,
1,9,1652.4,399.5,1395.0,single,True,0,False,0.25,False,True,
1,10,1220.8,684.0,2215.0,single,True,0,False,0.115,False,True,non_budding/frame1_cell10.tif
1,11,254.8,687.3,2281.0,single,True,0,False,0.148,False,True,non_budding/frame1_cell11.tif
1,12,904.4,862.0,1960.0,budding_pair,True,16,True,2.803,True,True,budding/frame1_cell12.tif
1,13,258.4,926.4,2068.0,single,True,0,False,0.07,False,True,non_budding/frame1_cell13.tif
1,14,1281.2,965.6,2741.0,single,True,0,False,0.126,False,True,non_budding/frame1_cell14.tif
1,15,530.8,975.2,3834.0,budding_pair,True,7,True,0.21,True,True,budding/frame1_cell15.tif
1,16,1148.2,1048.7,2139.0,single,True,0,False,0.22,False,True,non_budding/frame1_cell16.tif
1,17,39.1,1099.6,1783.0,single,True,0,False,0.15,False,True,
1,18,1278.2,1226.7,1936.0,single,True,0,False,0.11,False,True,
2,1,642.4,85.0,3240.0,single,True,0,False,0.143,False,True,non_budding/frame2_cell1.tif
2,2,518.6,88.3,2097.0,single,True,0,False,0.139,False,True,non_budding/frame2_cell2.tif
2,3,1516.1,132.7,1651.0,ambiguous,False,0,False,0.368,False,,
2,4,77.8,248.8,1377.0,single,True,0,False,0.246,False,True,non_budding/frame2_cell4.tif
2,5,734.4,276.4,2042.0,budding_pair,True,8,True,0.267,True,True,budding/frame2_cell5.tif
2,6,487.7,365.7,4050.0,budding_pair,True,5,True,0.232,True,True,budding/frame2_cell6.tif
2,7,45.4,345.1,1259.0,single,True,0,False,0.3,False,True,
2,8,749.7,363.5,1927.0,single,True,0,False,0.051,False,True,non_budding/frame2_cell8.tif
2,9,371.8,394.6,1765.0,single,True,0,False,0.268,False,True,non_budding/frame2_cell9.tif
2,10,221.8,408.8,921.0,single,True,0,False,0.247,False,True,non_budding/frame2_cell10.tif
2,11,582.9,423.5,1380.0,single,True,0,False,0.07,False,True,non_budding/frame2_cell11.tif
2,12,199.5,480.2,1664.0,single,True,0,False,0.217,False,True,non_budding/frame2_cell12.tif
2,13,916.4,523.8,3527.0,budding_pair,True,4,False,0.169,True,False,budding/frame2_cell13.tif
2,14,821.7,560.9,2180.0,single,True,0,False,0.214,False,True,non_budding/frame2_cell14.tif
2,15,218.2,586.5,2875.0,ambiguous,False,0,False,1.782,False,,
2,16,407.8,583.0,2720.0,single,True,0,False,0.086,False,True,non_budding/frame2_cell16.tif
2,17,1389.4,598.5,2323.0,single,True,0,False,0.054,False,True,non_budding/frame2_cell17.tif
2,18,260.7,639.9,1386.0,single,True,0,False,0.432,False,True,non_budding/frame2_cell18.tif
2,19,768.4,659.5,2200.0,single,True,0,False,0.048,False,True,non_budding/frame2_cell19.tif
2,20,448.5,692.0,3330.0,budding_pair,True,5,True,0.136,False,False,non_budding/frame2_cell20.tif
2,21,842.7,798.0,3596.0,budding_pair,True,7,True,0.172,True,True,budding/frame2_cell21.tif
2,22,1391.9,837.8,2062.0,single,True,0,False,0.057,False,True,non_budding/frame2_cell22.tif
2,23,1077.4,855.1,3563.0,ambiguous,False,0,False,0.241,False,,
2,24,1661.4,884.7,3126.0,budding_pair,True,10,True,0.229,True,True,
2,25,624.6,905.2,1729.0,single,True,0,False,1.473,False,True,non_budding/frame2_cell25.tif
2,26,136.8,936.8,1033.0,multicell,False,0,False,3.194,False,,
2,27,1017.4,975.7,2367.0,single,True,0,False,0.049,False,True,non_budding/frame2_cell27.tif
2,28,1168.4,1013.2,2548.0,single,True,0,False,0.06,False,True,non_budding/frame2_cell28.tif
2,29,813.4,1133.8,2534.0,single,True,0,False,0.284,False,True,non_budding/frame2_cell29.tif
3,1,724.7,32.0,1903.0,single,True,0,False,0.06,False,True,
3,2,325.5,38.8,3043.0,budding_pair,True,7,True,0.243,True,True,
3,3,449.0,60.0,5691.0,multicell,False,0,False,0.273,False,,
3,4,993.6,84.0,1901.0,single,True,0,False,0.074,False,True,non_budding/frame3_cell4.tif
3,5,1656.0,124.2,405.0,multicell,False,0,False,1.344,False,,
3,6,1637.0,220.6,1545.0,single,True,0,False,0.128,False,True,
3,7,1545.6,227.1,1651.0,single,True,0,False,0.18,False,True,non_budding/frame3_cell7.tif
3,8,312.7,278.3,1483.0,single,True,0,False,0.26,False,True,non_budding/frame3_cell8.tif
3,9,404.4,303.8,2084.0,single,True,0,False,0.064,False,True,non_budding/frame3_cell9.tif
3,10,561.9,401.1,3215.0,single,True,0,False,0.205,False,True,non_budding/frame3_cell10.tif
3,11,189.5,438.8,2315.0,single,True,0,False,0.23,False,True,non_budding/frame3_cell11.tif
3,12,1045.9,457.3,3633.0,ambiguous,False,0,False,0.196,False,,
3,13,943.8,500.4,2288.0,single,True,0,False,0.041,False,True,non_budding/frame3_cell13.tif
3,14,831.0,538.7,3219.0,single,True,0,False,0.043,False,True,non_budding/frame3_cell14.tif
3,15,947.4,748.1,2443.0,single,True,0,False,0.102,False,True,non_budding/frame3_cell15.tif
3,16,943.9,815.0,2637.0,budding_pair,True,22,True,1.651,True,True,budding/frame3_cell16.tif
