frame,cell_label,split,crop_path,modern_budding
36,1,train,non_budding/frame36_cell1.tif,False
36,2,train,non_budding/frame36_cell2.tif,False
36,4,train,non_budding/frame36_cell4.tif,False
36,5,train,non_budding/frame36_cell5.tif,False
36,6,train,non_budding/frame36_cell6.tif,False
36,7,train,non_budding/frame36_cell7.tif,False
36,8,train,non_budding/frame36_cell8.tif,False
36,9,train,non_budding/frame36_cell9.tif,False
36,10,train,non_budding/frame36_cell10.tif,False
36,11,train,budding/frame36_cell11.tif,True
36,12,train,non_budding/frame36_cell12.tif,False
36,13,train,budding/frame36_cell13.tif,True
36,14,train,non_budding/frame36_cell14.tif,False
36,15,train,non_budding/frame36_cell15.tif,False
36,16,train,non_budding/frame36_cell16.tif,False
36,17,train,non_budding/frame36_cell17.tif,False
68,2,train,budding/frame68_cell2.tif,True
68,3,train,budding/frame68_cell3.tif,True
68,4,train,non_budding/frame68_cell4.tif,False
68,5,train,non_budding/frame68_cell5.tif,False
68,6,train,non_budding/frame68_cell6.tif,False
68,7,train,budding/frame68_cell7.tif,True
68,8,train,non_budding/frame68_cell8.tif,False
68,9,train,budding/frame68_cell9.tif,True
68,10,train,non_budding/frame68_cell10.tif,False
68,11,train,non_budding/frame68_cell11.tif,False
68,12,train,non_budding/frame68_cell12.tif,False
68,14,train,non_budding/frame68_cell14.tif,False
31,1,train,non_budding/frame31_cell1.tif,False
31,2,train,budding/frame31_cell2.tif,True
31,3,train,budding/frame31_cell3.tif,True
31,4,train,budding/frame31_cell4.tif,True
31,5,train,non_budding/frame31_cell5.tif,False
31,6,train,non_budding/frame31_cell6.tif,False
31,7,train,budding/frame31_cell7.tif,True
31,8,train,budding/frame31_cell8.tif,True
33,1,train,budding/frame33_cell1.tif,True
33,3,train,non_budding/frame33_cell3.tif,False
33,4,train,budding/frame33_cell4.tif,True
33,5,train,non_budding/frame33_cell5.tif,False
33,6,train,non_budding/frame33_cell6.tif,False
33,7,train,non_budding/frame33_cell7.tif,False
33,8,train,non_budding/frame33_cell8.tif,False
33,9,train,non_budding/frame33_cell9.tif,False
33,10,train,budding/frame33_cell10.tif,True
33,11,train,non_budding/frame33_cell11.tif,False
33,12,train,non_budding/frame33_cell12.tif,False
1,3,train,non_budding/frame1_cell3.tif,False
1,4,train,non_budding/frame1_cell4.tif,False
1,5,train,non_budding/frame1_cell5.tif,False
1,6,train,non_budding/frame1_cell6.tif,False
1,7,train,non_budding/frame1_cell7.tif,False
1,10,train,non_budding/frame1_cell10.tif,False
1,11,train,non_budding/frame1_cell11.tif,False
1,12,train,budding/frame1_cell12.tif,True
1,13,train,non_budding/frame1_cell13.tif,False
1,14,train,non_budding/frame1_cell14.tif,False
1,15,train,budding/frame1_cell15.tif,True
1,16,train,non_budding/frame1_cell16.tif,False
15,1,train,budding/frame15_cell1.tif,True
15,2,train,non_budding/frame15_cell2.tif,False
15,3,train,non_budding/frame15_cell3.tif,False
15,5,train,non_budding/frame15_cell5.tif,False
15,6,train,non_budding/frame15_cell6.tif,False
15,7,train,non_budding/frame15_cell7.tif,False
15,9,train,non_budding/frame15_cell9.tif,False
15,10,train,non_budding/frame15_cell10.tif,False
15,11,train,non_budding/frame15_cell11.tif,False
15,12,train,budding/frame15_cell12.tif,True
52,2,train,budding/frame52_cell2.tif,True
52,3,train,budding/frame52_cell3.tif,True
52,4,train,non_budding/frame52_cell4.tif,False
52,5,train,non_budding/frame52_cell5.tif,False
52,6,train,budding/frame52_cell6.tif,True
52,7,train,non_budding/frame52_cell7.tif,False
52,8,train,non_budding/frame52_cell8.tif,False
52,9,train,non_budding/frame52_cell9.tif,False
52,10,train,non_budding/frame52_cell10.tif,False
52,11,train,budding/frame52_cell11.tif,True
52,12,train,non_budding/frame52_cell12.tif,False
52,13,train,budding/frame52_cell13.tif,True
52,14,train,non_budding/frame52_cell14.tif,False
52,16,train,budding/frame52_cell16.tif,True
72,2,train,non_budding/frame72_cell2.tif,False
72,3,train,budding/frame72_cell3.tif,True
72,5,train,non_budding/frame72_cell5.tif,False
72,6,train,non_budding/frame72_cell6.tif,False
72,8,train,budding/frame72_cell8.tif,True
72,9,train,budding/frame72_cell9.tif,True
72,10,train,budding/frame72_cell10.tif,True
72,12,train,budding/frame72_cell12.tif,True
72,13,train,budding/frame72_cell13.tif,True
72,14,train,budding/frame72_cell14.tif,True
63,1,train,non_budding/frame63_cell1.tif,False
63,2,train,non_budding/frame63_cell2.tif,False
63,3,train,non_budding/frame63_cell3.tif,False
63,4,train,budding/frame63_cell4.tif,True
63,5,train,budding/frame63_cell5.tif,True
63,6,train,budding/frame63_cell6.tif,True
63,7,train,non_budding/frame63_cell7.tif,False
63,8,train,budding/frame63_cell8.tif,True
63,9,train,budding/frame63_cell9.tif,True
63,10,train,budding/frame63_cell10.tif,True
88,1,train,non_budding/frame88_cell1.tif,False
88,3,train,non_budding/frame88_cell3.tif,False
88,4,train,non_budding/frame88_cell4.tif,False
88,5,train,budding/frame88_cell5.tif,True
88,6,train,non_budding/frame88_cell6.tif,False
88,7,train,non_budding/frame88_cell7.tif,False
88,8,train,non_budding/frame88_cell8.tif,False
88,9,train,budding/frame88_cell9.tif,True
26,1,train,budding/frame26_cell1.tif,True
26,2,train,non_budding/frame26_cell2.tif,False
26,3,train,budding/frame26_cell3.tif,True
26,4,train,non_budding/frame26_cell4.tif,False
26,5,train,non_budding/frame26_cell5.tif,False
26,6,train,non_budding/frame26_cell6.tif,False
26,7,train,non_budding/frame26_cell7.tif,False
26,8,train,non_budding/frame26_cell8.tif,False
26,9,train,budding/frame26_cell9.tif,True
26,13,train,non_budding/frame26_cell13.tif,False
41,1,train,budding/frame41_cell1.tif,True
41,2,train,non_budding/frame41_cell2.tif,False
41,3,train,non_budding/frame41_cell3.tif,False
41,4,train,budding/frame41_cell4.tif,True
41,5,train,non_budding/frame41_cell5.tif,False
41,7,train,non_budding/frame41_cell7.tif,False
41,8,train,budding/frame41_cell8.tif,True
41,9,train,non_budding/frame41_cell9.tif,False
41,10,train,non_budding/frame41_cell10.tif,False
41,11,train,budding/frame41_cell11.tif,True
27,1,train,budding/frame27_cell1.tif,True
27,2,train,budding/frame27_cell2.tif,True
27,4,train,non_budding/frame27_cell4.tif,False
27,5,train,non_budding/frame27_cell5.tif,False
27,6,train,budding/frame27_cell6.tif,True
27,7,train,budding/frame27_cell7.tif,True
27,8,train,budding/frame27_cell8.tif,True
27,10,train,budding/frame27_cell10.tif,True
27,11,train,budding/frame27_cell11.tif,True
27,13,train,non_budding/frame27_cell13.tif,False
27,14,train,budding/frame27_cell14.tif,True
27,15,train,non_budding/frame27_cell15.tif,False
27,16,train,non_budding/frame27_cell16.tif,False
43,1,train,non_budding/frame43_cell1.tif,False
43,2,train,non_budding/frame43_cell2.tif,False
43,3,train,budding/frame43_cell3.tif,True
43,4,train,non_budding/frame43_cell4.tif,False
43,5,train,non_budding/frame43_cell5.tif,False
43,6,train,non_budding/frame43_cell6.tif,False
43,7,train,non_budding/frame43_cell7.tif,False
43,8,train,budding/frame43_cell8.tif,True
43,9,train,budding/frame43_cell9.tif,True
43,10,train,non_budding/frame43_cell10.tif,False
43,11,train,non_budding/frame43_cell11.tif,False
43,12,train,non_budding/frame43_cell12.tif,False
43,13,train,non_budding/frame43_cell13.tif,False
43,15,train,non_budding/frame43_cell15.tif,False
43,16,train,budding/frame43_cell16.tif,True
43,17,train,non_budding/frame43_cell17.tif,False
43,18,train,non_budding/frame43_cell18.tif,False
43,19,train,non_budding/frame43_cell19.tif,False
43,20,train,non_budding/frame43_cell20.tif,False
93,1,train,budding/frame93_cell1.tif,True
93,2,train,non_budding/frame93_cell2.tif,False
93,3,train,budding/frame93_cell3.tif,True
93,4,train,budding/frame93_cell4.tif,True
93,6,train,non_budding/frame93_cell6.tif,False
93,7,train,non_budding/frame93_cell7.tif,False
93,8,train,budding/frame93_cell8.tif,True
93,9,train,non_budding/frame93_cell9.tif,False
93,10,train,non_budding/frame93_cell10.tif,False
93,11,train,non_budding/frame93_cell11.tif,False
93,12,train,non_budding/frame93_cell12.tif,False
93,13,train,non_budding/frame93_cell13.tif,False
2,1,train,non_budding/frame2_cell1.tif,False
2,2,train,non_budding/frame2_cell2.tif,False
2,4,train,non_budding/frame2_cell4.tif,False
2,5,train,budding/frame2_cell5.tif,True
2,6,train,budding/frame2_cell6.tif,True
2,8,train,non_budding/frame2_cell8.tif,False
2,9,train,non_budding/frame2_cell9.tif,False
2,10,train,non_budding/frame2_cell10.tif,False
2,11,train,non_budding/frame2_cell11.tif,False
2,12,train,non_budding/frame2_cell12.tif,False
2,13,train,budding/frame2_cell13.tif,True
2,14,train,non_budding/frame2_cell14.tif,False
2,16,train,non_budding/frame2_cell16.tif,False
2,17,train,non_budding/frame2_cell17.tif,False
2,18,train,non_budding/frame2_cell18.tif,False
2,19,train,non_budding/frame2_cell19.tif,False
2,20,train,non_budding/frame2_cell20.tif,False
2,21,train,budding/frame2_cell21.tif,True
2,22,train,non_budding/frame2_cell22.tif,False
2,25,train,non_budding/frame2_cell25.tif,False
2,27,train,non_budding/frame2_cell27.tif,False
2,28,train,non_budding/frame2_cell28.tif,False
2,29,train,non_budding/frame2_cell29.tif,False
76,1,train,budding/frame76_cell1.tif,True
76,2,train,budding/frame76_cell2.tif,True
76,3,train,non_budding/frame76_cell3.tif,False
76,4,train,non_budding/frame76_cell4.tif,False
76,5,train,budding/frame76_cell5.tif,True
76,6,train,budding/frame76_cell6.tif,True
76,7,train,non_budding/frame76_cell7.tif,False
28,2,train,non_budding/frame28_cell2.tif,False
28,3,train,non_budding/frame28_cell3.tif,False
28,4,train,non_budding/frame28_cell4.tif,False
28,6,train,non_budding/frame28_cell6.tif,False
28,7,train,non_budding/frame28_cell7.tif,False
28,8,train,non_budding/frame28_cell8.tif,False
28,9,train,non_budding/frame28_cell9.tif,False
28,10,train,non_budding/frame28_cell10.tif,False
75,2,train,non_budding/frame75_cell2.tif,False
75,3,train,budding/frame75_cell3.tif,True
75,4,train,non_budding/frame75_cell4.tif,False
75,5,train,non_budding/frame75_cell5.tif,False
75,6,train,non_budding/frame75_cell6.tif,False
75,7,train,non_budding/frame75_cell7.tif,False
75,8,train,non_budding/frame75_cell8.tif,False
75,9,train,non_budding/frame75_cell9.tif,False
75,10,train,non_budding/frame75_cell10.tif,False
75,11,train,non_budding/frame75_cell11.tif,False
75,12,train,non_budding/frame75_cell12.tif,False
10,1,train,non_budding/frame10_cell1.tif,False
10,2,train,budding/frame10_cell2.tif,True
10,3,train,non_budding/frame10_cell3.tif,False
10,4,train,non_budding/frame10_cell4.tif,False
10,5,train,non_budding/frame10_cell5.tif,False
10,6,train,budding/frame10_cell6.tif,True
10,7,train,budding/frame10_cell7.tif,True
10,8,train,non_budding/frame10_cell8.tif,False
32,1,train,non_budding/frame32_cell1.tif,False
32,2,train,budding/frame32_cell2.tif,True
32,3,train,budding/frame32_cell3.tif,True
32,4,train,budding/frame32_cell4.tif,True
32,5,train,non_budding/frame32_cell5.tif,False
32,7,train,budding/frame32_cell7.tif,True
32,8,train,non_budding/frame32_cell8.tif,False
32,9,train,budding/frame32_cell9.tif,True
32,10,train,budding/frame32_cell10.tif,True
32,11,train,non_budding/frame32_cell11.tif,False
32,12,train,non_budding/frame32_cell12.tif,False
53,1,train,non_budding/frame53_cell1.tif,False
53,2,train,budding/frame53_cell2.tif,True
53,3,train,non_budding/frame53_cell3.tif,False
53,4,train,non_budding/frame53_cell4.tif,False
53,5,train,non_budding/frame53_cell5.tif,False
53,6,train,non_budding/frame53_cell6.tif,False
53,8,train,non_budding/frame53_cell8.tif,False
53,9,train,non_budding/frame53_cell9.tif,False
53,10,train,non_budding/frame53_cell10.tif,False
53,11,train,budding/frame53_cell11.tif,True
53,12,train,budding/frame53_cell12.tif,True
53,13,train,budding/frame53_cell13.tif,True
87,1,train,non_budding/frame87_cell1.tif,False
87,2,train,non_budding/frame87_cell2.tif,False
87,3,train,non_budding/frame87_cell3.tif,False
87,4,train,non_budding/frame87_cell4.tif,False
87,5,train,non_budding/frame87_cell5.tif,False
73,1,train,budding/frame73_cell1.tif,True
73,2,train,non_budding/frame73_cell2.tif,False
73,3,train,budding/frame73_cell3.tif,True
73,4,train,non_budding/frame73_cell4.tif,False
73,5,train,non_budding/frame73_cell5.tif,False
73,6,train,non_budding/frame73_cell6.tif,False
73,7,train,budding/frame73_cell7.tif,True
73,8,train,non_budding/frame73_cell8.tif,False
73,9,train,non_budding/frame73_cell9.tif,False
73,11,train,non_budding/frame73_cell11.tif,False
73,12,train,budding/frame73_cell12.tif,True
39,1,train,budding/frame39_cell1.tif,True
39,2,train,non_budding/frame39_cell2.tif,False
39,3,train,budding/frame39_cell3.tif,True
39,4,train,non_budding/frame39_cell4.tif,False
39,5,train,non_budding/frame39_cell5.tif,False
39,6,train,non_budding/frame39_cell6.tif,False
39,7,train,non_budding/frame39_cell7.tif,False
39,8,train,non_budding/frame39_cell8.tif,False
39,9,train,non_budding/frame39_cell9.tif,False
39,11,train,non_budding/frame39_cell11.tif,False
39,13,train,non_budding/frame39_cell13.tif,False
39,14,train,budding/frame39_cell14.tif,True
39,15,train,non_budding/frame39_cell15.tif,False
39,16,train,non_budding/frame39_cell16.tif,False
39,17,train,non_budding/frame39_cell17.tif,False
39,18,train,budding/frame39_cell18.tif,True
83,1,train,budding/frame83_cell1.tif,True
83,2,train,non_budding/frame83_cell2.tif,False
83,3,train,non_budding/frame83_cell3.tif,False
83,4,train,budding/frame83_cell4.tif,True
83,5,train,budding/frame83_cell5.tif,True
83,6,train,budding/frame83_cell6.tif,True
83,7,train,budding/frame83_cell7.tif,True
69,1,train,budding/frame69_cell1.tif,True
69,2,train,budding/frame69_cell2.tif,True
69,3,train,non_budding/frame69_cell3.tif,False
69,4,train,non_budding/frame69_cell4.tif,False
69,5,train,budding/frame69_cell5.tif,True
69,6,train,non_budding/frame69_cell6.tif,False
